tree	path	bytes	sha256	source_url	retrieved_from
siramy	_divers/d2_gif_palettes/d2-act5.gif	1087	c1c1ab79dfac0320aeead6aebd260c55d116c28a6f360406c8b47bccea7e7117	http://paul.siramy.free.fr/_divers/d2_gif_palettes/d2-act5.gif	live
siramy	_divers/d2_gif_palettes/d2-endgame.gif	1087	ad5d0f5d824af8c547d910fab752deae1aa901473523c48a9ec7de0b24634e6e	http://paul.siramy.free.fr/_divers/d2_gif_palettes/d2-endgame.gif	live
siramy	_divers/d2_gif_palettes/d2-endgame2.gif	1087	47fcd14a973886cc53806718f7657ff1fcad9d2afc23bd10c87235e4c5988eec	http://paul.siramy.free.fr/_divers/d2_gif_palettes/d2-endgame2.gif	live
siramy	_divers/d2_gif_palettes/d2-fechar.gif	1087	7114da47551bcd22df7c048e6b2c8b3be7a0897abc8d1ec78bc221fb750f5e33	http://paul.siramy.free.fr/_divers/d2_gif_palettes/d2-fechar.gif	live
siramy	_divers/d2_gif_palettes/d2-loading.gif	1087	251affc6a1a513ae7938f6a4cd990c08aafd8e8055627476264b374cdacbc4a8	http://paul.siramy.free.fr/_divers/d2_gif_palettes/d2-loading.gif	live
siramy	_divers/d2_gif_palettes/d2-menu0.gif	1087	dd51ded65cd54580b1e00eaa8b36c425311497aa420478d7146b2185e791fdcf	http://paul.siramy.free.fr/_divers/d2_gif_palettes/d2-menu0.gif	live
siramy	_divers/d2_gif_palettes/d2-menu1.gif	1087	e58156507bf6a4cf7264430197bf12c7495570dcaefdd914caa7cf8395bb4436	http://paul.siramy.free.fr/_divers/d2_gif_palettes/d2-menu1.gif	live
siramy	_divers/d2_gif_palettes/d2-menu2.gif	1087	896a34283112494e46140bbcbfb2d5cadee1fed3bd1cb332bd4f1fc8ecf36ce1	http://paul.siramy.free.fr/_divers/d2_gif_palettes/d2-menu2.gif	live
siramy	_divers/d2_gif_palettes/d2-menu3.gif	1087	8b3e9932fe41850f039d5760489a63533e9112a86e5ab07d101f46707198f759	http://paul.siramy.free.fr/_divers/d2_gif_palettes/d2-menu3.gif	live
siramy	_divers/d2_gif_palettes/d2-menu4.gif	1087	0c08bc21e6b48d0472483b3ab42a723092061dcdaa939d6d452c2a0b85541d4b	http://paul.siramy.free.fr/_divers/d2_gif_palettes/d2-menu4.gif	live
